Categorie;Marque;Produit;Details;Prix neuf (DH);Prix reconditionne (DH);Prix occasion (DH);Prix reel confirme;Identifiant fichier photo
Smartphone Android;Samsung;Galaxy S8;64 Go · écran incurvé;;650;600;non;galaxy-s8.jpg
Smartphone Android;Samsung;Galaxy Z Flip 6;256 Go · compact;;5950;5600;non;galaxy-z-flip-6.jpg
Smartphone Android;Samsung;Galaxy Z Flip 7;256 Go · format compact;11900;;;non;galaxy-z-flip-7.jpg
Smartphone Android;Samsung;Galaxy Z Flip 7 FE;128 Go · compact;;5200;4900;non;galaxy-z-flip-7-fe.jpg
Smartphone Android;Samsung;Galaxy Z Fold 5;256 Go · pliant 7,6″;;7300;6900;non;galaxy-z-fold-5.jpg
Smartphone Android;Samsung;Galaxy Z Fold 6;256 Go · pliant;;9950;9400;non;galaxy-z-fold-6.jpg
Smartphone Android;Samsung;Galaxy Z Fold 7;512 Go · écran pliant 8″;19900;;;non;galaxy-z-fold-7.jpg
Smartphone Android;Xiaomi;POCO F8;512 Go · performance;3900;2950;2800;non;poco-f8.jpg
Smartphone Android;Xiaomi;Redmi 10;128 Go · entrée de gamme;;850;800;non;redmi-10.jpg
Smartphone Android;Xiaomi;Redmi Note 14 Pro;256 Go · photo 200 Mpx;;2250;2100;non;redmi-note-14-pro.jpg
Smartphone Android;Xiaomi;Redmi Note 15 Pro;256 Go · rapport qualité-prix;2600;1950;1850;non;redmi-note-15-pro.jpg
Smartphone Android;Xiaomi;Redmi Note 9S;128 Go · batterie 5 020 mAh;;950;900;non;redmi-note-9s.jpg
Smartphone Android;Xiaomi;Xiaomi 15 Ultra;512 Go · Leica;;9200;8700;non;xiaomi-15-ultra.jpg
Smartphone Android;Xiaomi;Xiaomi 17;256 Go · Snapdragon dernier cri;7200;5500;5200;non;xiaomi-17.jpg
Smartphone Android;Xiaomi;Xiaomi 17 Ultra;512 Go · Leica · capteur 1 pouce;11900;9050;8550;non;xiaomi-17-ultra.jpg
Mac;Apple;Mac mini M2;8 Go / 256 Go;;5200;4900;non;mac-mini-m2.jpg
Mac;Apple;Mac mini M4;16 Go / 256 Go · compact;8900;;;non;mac-mini-m4.jpg
Mac;Apple;MacBook Air 13″ M4;16 Go / 256 Go · 18 h d'autonomie;13900;;;non;macbook-air-13-m4.jpg
Mac;Apple;MacBook Air 15″ M4;16 Go / 512 Go · écran 15,3″;16900;;;non;macbook-air-15-m4.jpg
Mac;Apple;MacBook Air M2;8 Go / 256 Go · 13,6″;;8350;7900;non;macbook-air-m2.jpg
Mac;Apple;MacBook Pro 14″ M5;16 Go / 512 Go · Liquid Retina XDR;22500;;;non;macbook-pro-14-m5.jpg
Mac;Apple;MacBook Pro 14″ M5 Pro;24 Go / 1 To · ProMotion;29900;;;non;macbook-pro-14-m5-pro.jpg
Mac;Apple;MacBook Pro 16″ M5 Max;36 Go / 1 To · configuration pro;38500;;;non;macbook-pro-16-m5-max.jpg
Mac;Apple;MacBook Pro 16″ M5 Pro;24 Go / 1 To · écran 16,2″;34900;;;non;macbook-pro-16-m5-pro.jpg
Mac;Apple;MacBook Pro M3;16 Go / 512 Go · 14″;;13650;12900;non;macbook-pro-m3.jpg
Mac;Apple;iMac 24″ M4;16 Go / 512 Go · 4,5K Retina;17900;;;non;imac-24-m4.jpg
PC portable / bureau;HP;HP ENVY x360;Intel · écran tactile convertible;;5200;4900;non;hp-envy-x360.jpg
PC portable / bureau;HP;HP EliteBook 820 G3;Core i5 · 8 Go / 256 Go SSD;;1700;1600;non;hp-elitebook-820-g3.jpg
PC portable / bureau;HP;HP EliteDesk 805 G6;mini PC bureau · Ryzen;;3050;2900;non;hp-elitedesk-805-g6.jpg
PC portable / bureau;HP;HP ZBook;station de travail mobile · carte dédiée;;7200;6800;non;hp-zbook.jpg
PC portable / bureau;Lenovo;Lenovo V14-IIL;Core i3 · 8 Go / 256 Go SSD;;2550;2400;non;lenovo-v14-iil.jpg
PC portable / bureau;MEDION;MEDION Recon E10;PC portable gaming;;4450;4200;non;medion-recon-e10.jpg
PC portable / bureau;Microsoft;Microsoft Surface Pro 7;tablette PC · clavier détachable;;3800;3600;non;microsoft-surface-pro-7.jpg
iPad / tablette;Apple;iPad 11″ (A16);128 Go · Wi-Fi;4600;3500;3300;non;ipad-11-a16.jpg
iPad / tablette;Apple;iPad Air 11″ M3;128 Go · Wi-Fi;7900;6050;5700;non;ipad-air-11-m3.jpg
iPad / tablette;Apple;iPad Air 13″ M3;256 Go · grand écran;10400;7950;7500;non;ipad-air-13-m3.jpg
iPad / tablette;Apple;iPad Air M2;128 Go · 11″;;5200;4900;non;ipad-air-m2.jpg
iPad / tablette;Apple;iPad Pro 11″ M5;256 Go · Ultra Retina XDR;13900;;;non;ipad-pro-11-m5.jpg
iPad / tablette;Apple;iPad Pro 13″ M5;256 Go · Ultra Retina XDR;17400;;;non;ipad-pro-13-m5.jpg
iPad / tablette;Apple;iPad Pro M2;256 Go · 11″ · ProMotion;;7650;7200;non;ipad-pro-m2.jpg
iPad / tablette;Apple;iPad mini (A17 Pro);128 Go · 8,3″ · Apple Pencil Pro;6200;4700;4450;non;ipad-mini-a17-pro.jpg
Montre / objet connecté;Apple;Apple Watch SE 3;40 mm · GPS · bracelet sport;3200;2450;2300;non;apple-watch-se-3.jpg
Montre / objet connecté;Apple;Apple Watch SE 44 mm Cellular;44 mm · eSIM;;2000;1900;non;apple-watch-se-44-mm-cellular.jpg
Montre / objet connecté;Apple;Apple Watch Series 10;42 mm · reconditionnée;;4150;3900;non;apple-watch-series-10.jpg
Montre / objet connecté;Apple;Apple Watch Series 11;45 mm · GPS · always-on;5600;4300;4050;non;apple-watch-series-11.jpg
Montre / objet connecté;Apple;Apple Watch Series 11 Cellular;45 mm · eSIM;6800;5200;4900;non;apple-watch-series-11-cellular.jpg
Montre / objet connecté;Apple;Apple Watch Series 3;38 mm · GPS;;600;550;non;apple-watch-series-3.jpg
Montre / objet connecté;Apple;Apple Watch Series 4;40 mm · GPS;;900;850;non;apple-watch-series-4.jpg
Montre / objet connecté;Apple;Apple Watch Series 6;44 mm · Cellular;;1500;1400;non;apple-watch-series-6.jpg
Montre / objet connecté;Apple;Apple Watch Series 6 Nike;44 mm · édition Nike;;1600;1500;non;apple-watch-series-6-nike.jpg
Montre / objet connecté;Apple;Apple Watch Series 7;45 mm · always-on;;1900;1800;non;apple-watch-series-7.jpg
Montre / objet connecté;Apple;Apple Watch Series 9;45 mm · double tap;;2750;2600;non;apple-watch-series-9.jpg
Montre / objet connecté;Apple;Apple Watch Ultra;49 mm · titane;;4450;4200;non;apple-watch-ultra.jpg
Montre / objet connecté;Apple;Apple Watch Ultra 2;49 mm · titane · 3 000 nits;;6150;5800;non;apple-watch-ultra-2.jpg
Montre / objet connecté;Apple;Apple Watch Ultra 3;49 mm · titane · 4G;9200;7000;6600;non;apple-watch-ultra-3.jpg
Montre / objet connecté;WHOOP;WHOOP Peak 5.0;bracelet connecté · suivi santé · sans écran;2400;;;non;whoop-peak-5-0.jpg
Audio;Beats;Beats Studio 3;casque sans fil · réduction de bruit;;1550;1450;non;beats-studio-3.jpg
Audio;Bose;Bose QuietComfort;casque sans fil · réduction de bruit;;2450;2300;non;bose-quietcomfort.jpg
Audio;Jabra;Jabra Elite 75t;écouteurs sans fil;;800;750;non;jabra-elite-75t.jpg
Audio;Samsung;Galaxy Buds 2;écouteurs sans fil · ANC;;900;850;non;galaxy-buds-2.jpg
Audio;Soundpeats;Soundpeats Clear;écouteurs sans fil · autonomie longue;320;;;non;soundpeats-clear.jpg
Accessoire;Accessoire;AirPods 4;Avec réduction de bruit;1850;1450;1350;non;airpods-4.jpg
Accessoire;Accessoire;AirPods Pro 3;Réduction de bruit · boîtier USB-C;2950;2250;2100;non;airpods-pro-3.jpg
Accessoire;Accessoire;Batterie externe 20 000 mAh;Charge rapide · double port;340;250;250;non;batterie-externe-20-000-mah.jpg
Accessoire;Accessoire;Chargeur rapide 45 W;USB-C · câble tressé fourni;260;200;200;non;chargeur-rapide-45-w.jpg
Accessoire;Accessoire;Coque MagSafe pour iPhone;aimantée · toutes générations;180;;;non;coque-magsafe-pour-iphone.jpg
Accessoire;Accessoire;Coque de protection;Silicone ou transparente · toutes marques;90;50;50;non;coque-de-protection.jpg
Accessoire;Accessoire;Cross-Bag;sacoche bandoulière;250;;;non;cross-bag.jpg
Accessoire;Accessoire;Câble USB-C tressé 2 m;Charge et transfert;80;50;50;non;cable-usb-c-tresse-2-m.jpg
Accessoire;Accessoire;Montre connectée sport;Suivi activité · notifications;450;300;300;non;montre-connectee-sport.jpg
Accessoire;Accessoire;Protection d'écran verre trempé;Toutes tailles · posée sans bulle;120;100;100;non;protection-d-ecran-verre-trempe.jpg
Accessoire;Accessoire;Santa Barbara Cover;cuir · qualité originale;290;;;non;santa-barbara-cover.jpg
Accessoire;Apple;FineWoven Case iPhone 15 Pro Max;tissage fin · officiel;390;;;non;finewoven-case-iphone-15-pro-max.jpg
Accessoire;UGREEN;UGREEN Chargeur PD 20W;charge rapide · original;190;;;non;ugreen-chargeur-pd-20w.jpg
Accessoire;UGREEN;UGREEN GaN 100W;chargeur 4 ports · GaN;590;;;non;ugreen-gan-100w.jpg
Accessoire;UGREEN;UGREEN HUB 6-en-1;USB-C · HDMI, USB, lecteur SD;420;;;non;ugreen-hub-6-en-1.jpg
